entidad,relacion,objetos,pregunta,respuestas,obtenido_de
El demagogo,representa a,['esqueleto'],Contesta la siguiente pregunta: ¿A quién o qué representa El demagogo?,['esqueleto'],['mexico']
Estrella del Paseo de la Fama de Hollywood,representa a,['estrella'],Contesta la siguiente pregunta: ¿A quién o qué representa Estrella del Paseo de la Fama de Hollywood?,['estrella'],['cuba']
La guerra de guerrillas,representa a,['Che Guevara'],Contesta la siguiente pregunta: ¿A quién o qué representa La guerra de guerrillas?,['Che Guevara'],['cuba']
Murales de la Industria de Detroit,representa a,['trabajo'],Contesta la siguiente pregunta: ¿A quién o qué representa Murales de la Industria de Detroit?,['trabajo'],['mexico']
Alfaguara,propiedad de,['Penguin Random House Grupo Editorial'],Contesta la siguiente pregunta: ¿A quién pertenece Alfaguara?,['Penguin Random House Grupo Editorial'],['guatemala']
Canal 13,propiedad de,['Pontificia Universidad Católica de Chile'],Contesta la siguiente pregunta: ¿A quién pertenece Canal 13?,['Pontificia Universidad Católica de Chile'],['chile']
Caracol Radio,propiedad de,['Grupo Prisa'],Contesta la siguiente pregunta: ¿A quién pertenece Caracol Radio?,['Grupo Prisa'],['colombia']
Centro de Educación Artística,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Centro de Educación Artística?,['Grupo Televisa'],['cuba']
DuPont Corporation,propiedad de,"['BlackRock', 'The Vanguard Group']",Contesta la siguiente pregunta: ¿A quién pertenece DuPont Corporation?,"['BlackRock', 'The Vanguard Group']","['usa', 'usa']"
Dunkin',propiedad de,['Inspirar marcas'],Contesta la siguiente pregunta: ¿A quién pertenece Dunkin'?,['Inspirar marcas'],['usa']
Díptico de Marilyn,propiedad de,"['Tate Modern', 'Tate']",Contesta la siguiente pregunta: ¿A quién pertenece Díptico de Marilyn?,"['Tate Modern', 'Tate']","['usa', 'usa']"
Fox Sports,propiedad de,"['The Walt Disney Company', 'Foxtel', 'Mediapro']",Contesta la siguiente pregunta: ¿A quién pertenece Fox Sports?,"['The Walt Disney Company', 'Foxtel', 'Mediapro']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
Instituto O'Higgins de Rancagua,propiedad de,['Congregación de los Hermanos Maristas'],Contesta la siguiente pregunta: ¿A quién pertenece Instituto O'Higgins de Rancagua?,['Congregación de los Hermanos Maristas'],['chile']
Jarosław,propiedad de,['Jan of Tarnów'],Contesta la siguiente pregunta: ¿A quién pertenece Jarosław?,['Jan of Tarnów'],['venezuela']
La Sorbona,propiedad de,['municipalidad de París'],Contesta la siguiente pregunta: ¿A quién pertenece La Sorbona?,['municipalidad de París'],['costa_rica']
Miss Venezuela,propiedad de,['Organización Miss Venezuela'],Contesta la siguiente pregunta: ¿A quién pertenece Miss Venezuela?,['Organización Miss Venezuela'],['venezuela']
Palacio del príncipe de Mónaco,propiedad de,['Casa de Grimaldi'],Contesta la siguiente pregunta: ¿A quién pertenece Palacio del príncipe de Mónaco?,['Casa de Grimaldi'],['usa']
RCTV,propiedad de,['Empresas 1BC'],Contesta la siguiente pregunta: ¿A quién pertenece RCTV?,['Empresas 1BC'],['ecuador']
Televisa San Ángel,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Televisa San Ángel?,['Grupo Televisa'],['mexico']
US West,propiedad de,['AT&T Corporation'],Contesta la siguiente pregunta: ¿A quién pertenece US West?,['AT&T Corporation'],['usa']
Venevisión,propiedad de,['Organización Cisneros'],Contesta la siguiente pregunta: ¿A quién pertenece Venevisión?,['Organización Cisneros'],['venezuela']
premio Grammy al mejor álbum de pop latino,propiedad de,['Alejandro Sanz'],Contesta la siguiente pregunta: ¿A quién pertenece premio Grammy al mejor álbum de pop latino?,['Alejandro Sanz'],['colombia']
Academia Colombiana de la Lengua,categoría de miembros,['Categoría:Miembros de la Academia Colombiana de la Lengua'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Colombiana de la Lengua?,['Categoría:Miembros de la Academia Colombiana de la Lengua'],['colombia']
Academia Nacional de Ciencias de los Estados Unidos,categoría de miembros,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Nacional de Ciencias de los Estados Unidos?,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],['chile']
Academia de Bellas Artes,categoría de miembros,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia de Bellas Artes?,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],['venezuela']
Pixies,categoría de miembros,['Categoría:Miembros de Pixies'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Pixies?,['Categoría:Miembros de Pixies'],['argentina']
Salón Internacional de la Fama del tenis,categoría de miembros,['Categoría:Miembros del Salón de la Fama del tenis'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Salón Internacional de la Fama del tenis?,['Categoría:Miembros del Salón de la Fama del tenis'],['argentina']
Slayer,categoría de miembros,['Categoría:Miembros de Slayer'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Slayer?,['Categoría:Miembros de Slayer'],['chile']
Acarigua,categoría de personas relacionadas,['Categoría:Acarigüeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Acarigua?,['Categoría:Acarigüeños'],['venezuela']
Aguascalientes,categoría de personas relacionadas,['Categoría:Personas de Aguascalientes (ciudad)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Aguascalientes?,['Categoría:Personas de Aguascalientes (ciudad)'],['mexico']
Babahoyo,categoría de personas relacionadas,['Categoría:Babahoyenses'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Babahoyo?,['Categoría:Babahoyenses'],['ecuador']
Berkeley,categoría de personas relacionadas,['Categoría:Personas de Berkeley (California)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Berkeley?,['Categoría:Personas de Berkeley (California)'],['usa']
Cauquenes,categoría de personas relacionadas,['Categoría:Personas de Cauquenes'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Cauquenes?,['Categoría:Personas de Cauquenes'],['chile']
Ciudad del Este,categoría de personas relacionadas,['Categoría:Personas de Ciudad del Este'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Ciudad del Este?,['Categoría:Personas de Ciudad del Este'],['paraguay']
Copiapó,categoría de personas relacionadas,['Categoría:Personas de Copiapó'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Copiapó?,['Categoría:Personas de Copiapó'],['chile']
Culiacán,categoría de personas relacionadas,['Categoría:Personas de Culiacán'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Culiacán?,['Categoría:Personas de Culiacán'],['mexico']
Cúcuta,categoría de personas relacionadas,['Categoría:Personas de Cúcuta'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Cúcuta?,['Categoría:Personas de Cúcuta'],['colombia']
Departamento de Cajamarca,categoría de personas relacionadas,['Categoría:Personas del departamento de Cajamarca'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de Cajamarca?,['Categoría:Personas del departamento de Cajamarca'],['peru']
Departamento de Petén,categoría de personas relacionadas,['Categoría:Personas del departamento de Petén'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de Petén?,['Categoría:Personas del departamento de Petén'],['guatemala']
Departamento de San Marcos,categoría de personas relacionadas,['Categoría:Personas del departamento de San Marcos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de San Marcos?,['Categoría:Personas del departamento de San Marcos'],['guatemala']
El Bronx,categoría de personas relacionadas,['Categoría:Bronxeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con El Bronx?,['Categoría:Bronxeños'],['mexico']
Grand Rapids,categoría de personas relacionadas,['Categoría:Personas de Grand Rapids (Míchigan)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Grand Rapids?,['Categoría:Personas de Grand Rapids (Míchigan)'],['panama']
Guayaquil,categoría de personas relacionadas,['Categoría:Personas de Guayaquil'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Guayaquil?,['Categoría:Personas de Guayaquil'],['ecuador']
Hayward,categoría de personas relacionadas,['Categoría:Personas de Hayward (California)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Hayward?,['Categoría:Personas de Hayward (California)'],['usa']
Managua,categoría de personas relacionadas,['Categoría:Personas de Managua'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Managua?,['Categoría:Personas de Managua'],['chile']
Martigny,categoría de personas relacionadas,['Categoría:Personas de Martigny'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Martigny?,['Categoría:Personas de Martigny'],['guatemala']
Mercedes,categoría de personas relacionadas,['Categoría:Personas de Mercedes (Buenos Aires)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Mercedes?,['Categoría:Personas de Mercedes (Buenos Aires)'],['argentina']
Monagas,categoría de personas relacionadas,['Categoría:Monaguenses'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Monagas?,['Categoría:Monaguenses'],['venezuela']
Morón,categoría de personas relacionadas,['Categoría:Moronenses (Cuba)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Morón?,['Categoría:Moronenses (Cuba)'],['cuba']
Nueva Esparta,categoría de personas relacionadas,['Categoría:Neoespartanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Nueva Esparta?,['Categoría:Neoespartanos'],['venezuela']
Penco,categoría de personas relacionadas,['Categoría:Personas de Penco'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Penco?,['Categoría:Personas de Penco'],['chile']
Puerto Cortés,categoría de personas relacionadas,['Categoría:Personas de Puerto Cortés'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Puerto Cortés?,['Categoría:Personas de Puerto Cortés'],['honduras']
Puerto La Cruz,categoría de personas relacionadas,['Categoría:Puertocruzanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Puerto La Cruz?,['Categoría:Puertocruzanos'],['venezuela']
Riobamba,categoría de personas relacionadas,['Categoría:Riobambeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Riobamba?,['Categoría:Riobambeños'],['ecuador']
Saltillo,categoría de personas relacionadas,['Categoría:Personas de Saltillo'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Saltillo?,['Categoría:Personas de Saltillo'],['mexico']
San Felipe,categoría de personas relacionadas,['Categoría:Personas de San Felipe (Chile)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Felipe?,['Categoría:Personas de San Felipe (Chile)'],['chile']
San Francisco,categoría de personas relacionadas,['Categoría:Personas de San Francisco (Córdoba)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Francisco?,['Categoría:Personas de San Francisco (Córdoba)'],['argentina']
San Lorenzo,categoría de personas relacionadas,['Categoría:Personas de San Lorenzo (Paraguay)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Lorenzo?,['Categoría:Personas de San Lorenzo (Paraguay)'],['paraguay']
San Salvador,categoría de personas relacionadas,['Categoría:Personas de San Salvador'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Salvador?,['Categoría:Personas de San Salvador'],['nicaragua']
Sucre,categoría de personas relacionadas,['Categoría:Personas de Sucre (Colombia)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Sucre?,['Categoría:Personas de Sucre (Colombia)'],['colombia']
Tuluá,categoría de personas relacionadas,['Categoría:Personas de Tuluá'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Tuluá?,['Categoría:Personas de Tuluá'],['colombia']
Tumaco,categoría de personas relacionadas,['Categoría:Personas de Tumaco'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Tumaco?,['Categoría:Personas de Tumaco'],['colombia']
Valera,categoría de personas relacionadas,['Categoría:Valeranos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Valera?,['Categoría:Valeranos'],['venezuela']
Willemstad,categoría de personas relacionadas,['Categoría:Personas de Willemstad'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Willemstad?,['Categoría:Personas de Willemstad'],['venezuela']
Yaracuy,categoría de personas relacionadas,['Categoría:Yaracuyanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Yaracuy?,['Categoría:Yaracuyanos'],['venezuela']
Escuela de Economía y Ciencia Política de Londres,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Escuela de Economía y Ciencia Política de Londres?,['Middlesex'],['panama']
Escuela de Estudios Orientales y Africanos,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Escuela de Estudios Orientales y Africanos?,['Middlesex'],['cuba']
Real Academia de Arte Dramático,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Real Academia de Arte Dramático?,['Middlesex'],['usa']
Royal Academy of Music,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Royal Academy of Music?,['Middlesex'],['venezuela']
Universidad de Anglia del Este,condado histórico,['Norfolk'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Universidad de Anglia del Este?,['Norfolk'],['usa']
Universidad de Sussex,condado histórico,['Sussex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Universidad de Sussex?,['Sussex'],['costa_rica']
Balón de Oro,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Balón de Oro?,['fútbol'],['argentina']
Defensor del año de la Major League Soccer,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Defensor del año de la Major League Soccer?,['fútbol'],['colombia']
Futbolista del año en Sudamérica,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Futbolista del año en Sudamérica?,['fútbol'],['argentina']
IndyCar Series,deporte,['Fórmula (automovilismo)'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad IndyCar Series?,['Fórmula (automovilismo)'],['venezuela']
Jugador Más Valioso de la Major League Soccer,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Jugador Más Valioso de la Major League Soccer?,['fútbol'],['honduras']
Jugador Más Valioso,deporte,"['voleibol', 'fútbol', 'baloncesto', 'rugby a 15']",Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Jugador Más Valioso?,"['voleibol', 'fútbol', 'baloncesto', 'rugby a 15']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
Most Valuable Player,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Most Valuable Player?,['béisbol'],['panama']
Premio Cy Young,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Premio Cy Young?,['béisbol'],['venezuela']
Premio Puskás,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Premio Puskás?,['fútbol'],['colombia']
Salón de la Fama del fútbol inglés,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Salón de la Fama del fútbol inglés?,['fútbol'],['argentina']
Trofeo Calder,deporte,['hockey sobre hielo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Trofeo Calder?,['hockey sobre hielo'],['paraguay']
arquero,deporte,['tiro con arco'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad arquero?,['tiro con arco'],['costa_rica']
ciclista,deporte,['ciclismo de competición'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad ciclista?,['ciclismo de competición'],['ecuador']
entrenador de balonmano,deporte,['balonmano'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de balonmano?,['balonmano'],['paraguay']
entrenador de bádminton,deporte,['bádminton'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de bádminton?,['bádminton'],['peru']
entrenador de fútbol sala,deporte,['fútbol sala'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de fútbol sala?,['fútbol sala'],['costa_rica']
entrenador de tenis,deporte,['tenis'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de tenis?,['tenis'],['argentina']
entrenador,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador?,['fútbol'],['argentina']
esquiador de fondo,deporte,['esquí de fondo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad esquiador de fondo?,['esquí de fondo'],['chile']
gimnasta artístico,deporte,['gimnasia artística'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad gimnasta artístico?,['gimnasia artística'],['cuba']
guardameta,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad guardameta?,['fútbol'],['paraguay']
jugador de balonmano playa,deporte,['balonmano playa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de balonmano playa?,['balonmano playa'],['paraguay']
jugador de fútbol americano,deporte,['fútbol americano'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de fútbol americano?,['fútbol americano'],['argentina']
jugador de fútbol sala,deporte,['fútbol sala'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de fútbol sala?,['fútbol sala'],['costa_rica']
jugador de squash,deporte,['squash'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de squash?,['squash'],['colombia']
jugador de voleibol de playa,deporte,['voleibol de playa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de voleibol de playa?,['voleibol de playa'],['argentina']
levantador de potencia,deporte,['levantamiento de potencia'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad levantador de potencia?,['levantamiento de potencia'],['el_salvador']
luchador,deporte,['lucha amateur'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad luchador?,['lucha amateur'],['colombia']
mánager de béisbol,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad mánager de béisbol?,['béisbol'],['republica_dominicana']
pentatleta moderno,deporte,['pentatlón moderno'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad pentatleta moderno?,['pentatlón moderno'],['guatemala']
tenista de mesa,deporte,['tenis de mesa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad tenista de mesa?,['tenis de mesa'],['honduras']
triatleta,deporte,['triatlón'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad triatleta?,['triatlón'],['chile']
velocista,deporte,['atletismo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad velocista?,['atletismo'],['argentina']
árbitro FIFA,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad árbitro FIFA?,['fútbol'],['argentina']
Escuela Preparatoria Belmont,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Belmont?,['Distrito Escolar Unificado de Los Ángeles'],['mexico']
Escuela Preparatoria Garfield,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Garfield?,['Distrito Escolar Unificado de Los Ángeles'],['mexico']
Escuela Preparatoria Seagoville,distrito escolar,['Distrito Escolar Independiente de Dallas'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Seagoville?,['Distrito Escolar Independiente de Dallas'],['guatemala']
Escuela Preparatoria W. T. White,distrito escolar,['Distrito Escolar Independiente de Dallas'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria W. T. White?,['Distrito Escolar Independiente de Dallas'],['honduras']
Escuela Secundaria Coral Gables,distrito escolar,['Escuelas Públicas del Condado de Miami-Dade'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Secundaria Coral Gables?,['Escuelas Públicas del Condado de Miami-Dade'],['cuba']
Escuela Secundaria Mayor de Miami Beach,distrito escolar,['Escuelas Públicas del Condado de Miami-Dade'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Secundaria Mayor de Miami Beach?,['Escuelas Públicas del Condado de Miami-Dade'],['cuba']
Escuela secundaria Thomas Richard Robinson,distrito escolar,['Escuelas Públicas del Condado de Hillsborough'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela secundaria Thomas Richard Robinson?,['Escuelas Públicas del Condado de Hillsborough'],['honduras']
Narbonne High School,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Narbonne High School?,['Distrito Escolar Unificado de Los Ángeles'],['usa']
Academia Nacional de Educación,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Academia Nacional de Educación?,['educación superior'],['colombia']
Academia Nicaragüense de la Lengua,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Academia Nicaragüense de la Lengua?,['educación superior'],['chile']
Babson College,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Babson College?,['educación superior'],['republica_dominicana']
Consejo Mundial de Lucha Libre,industria,['lucha libre profesional'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Consejo Mundial de Lucha Libre?,['lucha libre profesional'],['costa_rica']
Instituto de Arte de Kansas City,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Instituto de Arte de Kansas City?,['educación superior'],['usa']
Middlebury College,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Middlebury College?,['educación superior'],['cuba']
Sociedad de Geografía de París,industria,['otras organizaciones funcionando por adhesión voluntaria'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Sociedad de Geografía de París?,['otras organizaciones funcionando por adhesión voluntaria'],['guatemala']
Telecorporación Salvadoreña,industria,['medio de comunicación de masas'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Telecorporación Salvadoreña?,['medio de comunicación de masas'],['el_salvador']
US West,industria,['telecomunicación'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad US West?,['telecomunicación'],['usa']
Universidad Marymount Manhattan,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Universidad Marymount Manhattan?,['educación superior'],['el_salvador']
Universidad de Georgetown,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Universidad de Georgetown?,['educación superior'],['colombia']
Craighouse School,afiliación,['Programa del Diploma del Bachillerato Internacional'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Craighouse School?,['Programa del Diploma del Bachillerato Internacional'],['chile']
Edmund A. Walsh School of Foreign Service,afiliación,['Association of Professional Schools of International Affairs'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Edmund A. Walsh School of Foreign Service?,['Association of Professional Schools of International Affairs'],['costa_rica']
Heroico Colegio Militar,afiliación,['Secretaría de la Defensa Nacional'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Heroico Colegio Militar?,['Secretaría de la Defensa Nacional'],['mexico']
Alcalde Metropolitano de Quito,aplica a la jurisdicción,['Distrito Metropolitano de Quito'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde Metropolitano de Quito?,['Distrito Metropolitano de Quito'],['colombia']
Alcalde de Guatemala,aplica a la jurisdicción,['Ciudad de Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de Guatemala?,['Ciudad de Guatemala'],['guatemala']
Alcalde de San José,aplica a la jurisdicción,['San José'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de San José?,['San José'],['costa_rica']
Alcalde de San Salvador,aplica a la jurisdicción,['San Salvador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de San Salvador?,['San Salvador'],['el_salvador']
Alcalde,aplica a la jurisdicción,['cantón de Ecuador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde?,['cantón de Ecuador'],['ecuador']
Asamblea Nacional de Nicaragua,aplica a la jurisdicción,['Nicaragua'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Asamblea Nacional de Nicaragua?,['Nicaragua'],['nicaragua']
Cancilleres de Costa Rica,aplica a la jurisdicción,['Costa Rica'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Cancilleres de Costa Rica?,['Costa Rica'],['costa_rica']
Director de la Escuela Nacional de Artes Gráficas,aplica a la jurisdicción,['Escuela Nacional de Artes Gráficas'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Director de la Escuela Nacional de Artes Gráficas?,['Escuela Nacional de Artes Gráficas'],['el_salvador']
